timestamp,itemid,property,value
1.44E+12,464731,790,n42600.000
1.43E+12,335975,451,1141052 n48.000
1.43E+12,355994,159,519769
1.43E+12,408404,159,519769
1.44E+12,381653,categoryid,1613
1.44E+12,73593,591,1116693
1.43E+12,214912,categoryid,367
1.44E+12,159603,776,369399
1.43E+12,93900,available,1
1.44E+12,422948,available,0
1.43E+12,160161,1036,726612
1.44E+12,164109,283,1249027 820477 1239874 820477 325576 1116189 n36.000 1249027 1297729 820477 96063 707081 n96.000 375545 312815 1308676 263517 599782 1249027 150169 461022 30603 1277301 1073641 24927 1244358 117991 207856 718248 173467 312815 806019
1.43E+12,260256,888,864259 1063261
1.43E+12,387691,888,965009
1.43E+12,420578,888,185688
1.44E+12,257773,400,1297729 n660.000 1178208 n720.000 424566
1.43E+12,244504,888,1129416 364023 961511
1.43E+12,291689,790,n33288.000
1.43E+12,438681,369,488660
1.44E+12,308985,790,n235320.000
1.43E+12,60214,888,675707
1.44E+12,312728,888,441568 1154859 86628
1.43E+12,156489,581,769062
1.43E+12,369447,available,1
1.43E+12,326799,348,21558
1.43E+12,443875,28,150169 610517
1.43E+12,343861,categoryid,1120
1.43E+12,422768,678,158780 1152181
1.44E+12,43391,888,92955 926977
1.43E+12,280893,888,1190295 973082 980660 346454
1.43E+12,198620,available,1
1.44E+12,263188,888,797432 n768360360.000 1318567
1.43E+12,78978,790,n64680.000
1.43E+12,410676,824,n57600.000 2943
1.43E+12,460188,112,679677
1.44E+12,414460,790,n9480.000
1.44E+12,373384,available,1
1.43E+12,451967,159,519769
1.44E+12,348196,888,1124401 n16440.000 726612 1052282 86628
1.43E+12,13031,790,n295320.000
1.43E+12,335913,790,n23160.000
1.44E+12,462394,888,683597 n43476.000
1.44E+12,227470,790,n47880.000
1.43E+12,78037,364,1141417
1.44E+12,466472,964,n2640.000 639502 n2760.000 1128577 486467 604633 769062
1.43E+12,346655,888,n3648.000 47996
1.43E+12,2263,839,520220
1.43E+12,379092,513,769062
1.43E+12,48743,888,724243 1304377
1.44E+12,38796,available,1
1.44E+12,13031,available,0
1.44E+12,350819,790,n30588.000
1.44E+12,167484,categoryid,1407
1.44E+12,32971,available,0
1.44E+12,55364,888,11996 n126072.000 26820 655992 150169 138242 784581 1297729 n24.000 350726 30603 832471
1.44E+12,373384,348,21558
1.43E+12,240421,888,365160 n11854.080
1.43E+12,199810,available,0
1.43E+12,397256,776,497643
1.43E+12,45121,790,n71400.000
1.44E+12,306260,506,927133
1.44E+12,137633,available,0
1.44E+12,319992,888,686733
1.44E+12,464409,790,n52080.000
1.44E+12,337358,available,0
1.44E+12,86238,225,1066831 n21600.000 1066831 n22800.000 1066831 n10800.000 580224 951585 973211 1046037
1.44E+12,261793,790,n1440.000
1.44E+12,255275,available,0
1.44E+12,328696,790,n200520.000
1.44E+12,10659,586,n16800.000 10317
1.43E+12,73593,available,1
1.43E+12,319992,790,n191760.000
1.43E+12,190172,701,769062
1.43E+12,281958,202,n23172.000 690687 610340 913084 834057
1.43E+12,85940,480,206386
1.44E+12,102229,6,537209 325971 150169 1263524 325971
1.44E+12,367490,790,n46320.000
1.44E+12,347013,962,664227 1305534 664227
1.43E+12,426298,888,451929 599442 651004 1284577 476705
1.44E+12,262159,790,n273600.000
1.43E+12,292760,888,1275486 961511 1284577 230420 868285
1.43E+12,337348,764,1285872
1.43E+12,75994,790,n266040.000
1.44E+12,96776,400,n552.000 639502 n720.000 424566
1.44E+12,67486,400,n552.000 639502 n720.000 424566
1.43E+12,262159,283,1037891 127431 1059499 n713162508.000 127431 730175 n360.000 312815 1178058 1037891 1244358 157939 386817 983499 30603 615344 520279 855390 718248 94244 493696 150169 1138498 868573 30603 150169 1256252 200595 98614 237874 312815 1037891 1215254 646928 434503 1004914 614681
1.43E+12,276704,888,683597 500040 n60.000 807959 n14400.000 10317
1.43E+12,422948,884,n23040.000 628176 n12960.000
1.43E+12,388097,415,769062
1.43E+12,256368,678,820477
1.44E+12,412312,888,330236 291334
1.44E+12,250658,790,n36360.000
1.43E+12,197245,678,469411 20115
1.43E+12,356320,678,642386
1.43E+12,335041,827,1128577 838923
1.43E+12,267010,790,n84120.000
1.44E+12,459761,839,620292
1.44E+12,190172,231,769062
1.43E+12,336855,364,349397
1.44E+12,359747,684,n96.000
1.44E+12,203231,888,139827 n7680.000 727751 628176 1318567
1.43E+12,89675,809,n600.000 910945
1.44E+12,189563,available,0
1.43E+12,10620,978,521119
1.44E+12,275269,790,n963240.000
1.44E+12,343878,720,1297729 n13.200 1178208 n18.000 404373
1.44E+12,153280,978,116566 1010684 234274 647240
1.44E+12,316753,364,556016
1.44E+12,47457,790,n13200.000
1.43E+12,188558,776,994501
1.44E+12,374841,364,828536
1.44E+12,54435,1036,1154859 86628
1.44E+12,204070,400,1297729 n720.000 1178208 n900.000 424566
1.43E+12,199810,28,150169 324703 79212
1.43E+12,277613,678,92148 824508
1.44E+12,412297,584,769062
1.43E+12,80502,364,340287
1.44E+12,306886,451,163250
1.43E+12,313203,928,769062
1.44E+12,395153,available,0
1.43E+12,77884,categoryid,628
1.43E+12,14159,521,769062
1.43E+12,45121,categoryid,799
1.43E+12,422425,546,769062
1.43E+12,305760,available,1
1.44E+12,437302,1032,1015535
1.44E+12,310590,112,679677
1.43E+12,20388,468,341968
1.44E+12,37029,581,472016 1021749 181384 1041261 191208
1.43E+12,335041,790,n119760.000
1.44E+12,59691,790,n201720.000
1.44E+12,306433,790,n188280.000
1.44E+12,420056,790,n46200.000
1.43E+12,341548,294,769062
1.43E+12,98728,112,679677
1.44E+12,34435,112,679677
1.44E+12,21886,available,1
1.44E+12,396318,283,1249027 820477 475741 475741 677200 n36.000 1249027 1297729 820477 96063 707081 n72.000 375545 384212 1215254 1123780 1313814 1308676 263517 883577 1249027 150169 461022 1283044 30603 1277301 1073641 24927 1244358 117991 207856 718248 173467 960877
1.43E+12,251813,790,n15480.000
1.44E+12,139898,888,694455 726612
1.43E+12,56352,192,n96.000 545395
1.44E+12,391131,888,1270889 n1296.000 628176
1.44E+12,461765,335,769062
1.44E+12,140861,790,n46080.000
1.43E+12,222613,880,n132.000 190776
1.44E+12,197245,888,416876 616467 373898 784581 1297729 n36.000 350726 30603 832471
1.43E+12,45121,available,1
1.44E+12,14671,790,n292920.000
1.43E+12,87947,928,769062
1.44E+12,392392,888,195184 237874 971646 n288.000 424566 1115 1297729 n12.000 908104
1.44E+12,433059,104,1297729 n1200.000 10317
1.44E+12,456889,888,320753 422480 767974 981281 1284577 840490 1253648
1.44E+12,421884,790,n234600.000
1.44E+12,31514,available,1
1.43E+12,420871,888,1252336 1149392 784581 1297729 n36.000 350726 30603 832471
1.43E+12,347974,496,464704 826669 1176545
1.43E+12,154912,888,417865 419745 1082131
1.43E+12,298868,available,1
1.44E+12,277651,888,1306558
1.44E+12,383396,591,1116693
1.43E+12,337348,available,1
1.43E+12,190172,802,1116693
1.43E+12,212837,776,114146
1.44E+12,235224,888,1305664 1181691
1.43E+12,164109,6,1249027
1.43E+12,395596,192,n768.000 545395
1.43E+12,60214,839,82777
1.43E+12,391289,790,n71520.000
1.43E+12,81075,categoryid,834
1.43E+12,390232,159,519769
1.44E+12,332761,581,472016 472016 181384 1041261 191208
1.44E+12,213464,364,805641
1.43E+12,17655,6,985131
1.44E+12,233770,915,320245 45447 703408 505888
1.44E+12,198209,available,1
1.44E+12,305786,888,321194 n784176.000 409412 1318567
1.43E+12,456005,678,125957
1.44E+12,161478,283,630194 992688 1032603 425005 835049 n12.000 357616 1169762 6443 96456 280874 288731 384212 676627 1155393 181563 30603 150169 642930 504410 623951 419865 181563 857932 280874 1215254 247166 1266913 30603 459299 174342 1283044 19090 312815 738613 1085228 1128577 1097825 30603
1.43E+12,306886,225,951585
1.44E+12,51354,888,875827 n103356.000
1.44E+12,55364,790,n14388.000
1.43E+12,220530,839,180816
1.43E+12,327424,available,1
1.43E+12,261865,227,945360 827388
1.43E+12,19003,112,679677
1.43E+12,391289,400,n600.000 424566
1.43E+12,242521,1038,482984
1.43E+12,253353,42,508704 n60.000
1.44E+12,396045,839,662786
1.43E+12,41932,776,128034
1.43E+12,379520,790,n28560.000
1.44E+12,305760,821,1128577 1201794 1279422 1241026 639502 n516.000 424566 780542 639502 n384.000 424566 416121 639502 n588.000 424566 1128577 126278 1279422 1241026 639502 n1080.000 424566 780542 639502 n624.000 424566 416121 639502 n840.000 424566
1.43E+12,356320,584,769062
1.44E+12,64751,202,406712 1180197
1.43E+12,57165,917,n318244800.000
1.44E+12,255708,202,271714 n6360.000 736389
1.43E+12,77884,790,n611880.000
1.44E+12,262159,364,532386
1.43E+12,356320,405,553394
1.44E+12,311052,available,1
1.44E+12,63184,790,n69480.000
1.44E+12,137633,888,1024724 963899 992862 951748 1300851 n20.400 1135780 1284577 n207.600 1284577 n19200.000 628176 n10800.000 134030 1284577 n96.000 1187104 1284577 n12.000 1175087 n12.000 1072114 1284577 1186729 681805 1284577 618514 980588 465272 1284577 1141052 n48.000 288796 1284577 814297 670753 n96.000
1.44E+12,167271,888,1196991 1156852
1.43E+12,37029,790,n275760.000
1.43E+12,256368,936,n48.000 1187104
1.44E+12,67182,695,769062
1.44E+12,139936,917,422415 927133
1.44E+12,375492,available,0
1.44E+12,25427,888,97272 916731 726612 648014 1284577 575349
1.44E+12,65286,19,1297729 n60.000 350726 30603 832471
1.43E+12,367667,790,n20160.000
1.44E+12,225083,581,472016 181384 1041261 191208
1.44E+12,396318,581,472016 1021749 181384
1.43E+12,199810,805,n12.000
1.44E+12,189429,678,922011 840490
1.44E+12,197005,981,664227 1305534 664227 769062
1.44E+12,159603,790,n17520.000
1.43E+12,439202,790,n24600.000
1.44E+12,106279,888,709821 n768.000 590055 785673 1318567
1.44E+12,259455,102,1217094 396934
1.44E+12,176162,790,n30720.000
1.43E+12,115244,categoryid,1649
1.43E+12,332761,764,1285872
1.43E+12,78163,764,1285872
1.44E+12,262159,888,1051803 1059499 n713162508.000 992862 647924 728044 n25.920 1135780 1284577 n187.200 1284577 n16392.000 628176 n9216.000 134030 1284577 n24.000 1187104 1284577 n12.000 1175087 n3840.000 1187104 1284577 491900 1284577 992862 625815 1119999 1284577 1141052 n48.000 288796 1284577 814297 670753 n96.000 1154859
1.44E+12,24855,993,626747
1.44E+12,341548,202,710419 1318697
1.43E+12,157361,888,442366
1.44E+12,167484,6,727274 9705
1.43E+12,368094,678,976452
1.43E+12,375588,790,n39000.000
1.44E+12,116794,720,n24000.000 10317
1.43E+12,204785,112,679677
1.43E+12,37583,available,0
1.43E+12,202835,915,604620 994670 938027
1.43E+12,239604,928,309080
1.43E+12,272563,790,n116880.000
1.43E+12,43391,678,805325
1.44E+12,253353,920,1178187
1.43E+12,184370,364,149834
1.43E+12,115244,790,n18480.000
1.44E+12,278679,888,1147482 674178 762848 823451 86628
1.44E+12,329693,120,803915 923584 1062064 62852 945042
1.44E+12,394254,591,1116693
1.44E+12,102229,888,1058682 1025080 n118200.000 n30.000 1135780
1.44E+12,161166,available,1
1.44E+12,181576,available,0
1.44E+12,259487,available,1
1.44E+12,37583,888,1907 1324053 162918 n24.000 1128577 n12.000 575349 1284577 206386
1.44E+12,391289,available,0
1.43E+12,395153,790,n38760.000
1.43E+12,336552,46,769062
1.44E+12,205392,790,n408960.000
1.44E+12,466501,790,n425880.000
1.43E+12,107853,888,1122694 710086 1284577 635635
1.44E+12,57284,888,447296 234049 n61200.000
1.44E+12,262159,451,1141052 n48.000 140719 553394
1.43E+12,463379,953,n15000.000 21263
1.44E+12,58729,581,181384
1.43E+12,268081,764,1285872
1.43E+12,299044,658,769062
1.43E+12,95426,889,769062
1.44E+12,138273,159,519769
1.44E+12,93900,888,888666 1333963 927133 385480 1297729 n24.000 350726 30603 832471
1.44E+12,331725,available,0
1.44E+12,355994,790,n192600.000
1.44E+12,5206,categoryid,927
1.44E+12,239020,categoryid,1613
1.43E+12,261288,categoryid,684
1.44E+12,444365,451,288796
1.44E+12,253615,619,n6000.000 1187104
1.44E+12,377474,888,785576 628176
1.44E+12,59477,306,n2760.000 1085398
1.43E+12,134118,790,n88680.000
1.43E+12,160161,227,283006 812080
1.43E+12,200270,928,1128577 481453
1.44E+12,390232,888,5135 453044 992862 951748 1137726 n21.600 1135780 1284577 n187.200 1284577 n16392.000 628176 n9216.000 134030 1284577 n96.000 1187104 1284577 n12.000 1072114 1284577 1186729 769062 1284577 1055803 1164666 613243 137425 1284577 1141052 n48.000 288796 1284577 814297 670753 n96.000
1.43E+12,267196,1028,683595 505888
1.43E+12,380493,12,181384
1.43E+12,376911,790,n225720.000
1.43E+12,157361,202,442366
1.44E+12,463379,202,732787
1.43E+12,24855,839,180816
1.44E+12,172063,839,202346
1.44E+12,297513,28,150169 585636 30603 752414
1.44E+12,44220,506,616467
1.44E+12,299044,790,n40680.000
1.44E+12,398579,335,459108
1.44E+12,122834,688,901881 729388 745809 729388 1056884 729388
1.44E+12,202835,790,n59400.000
1.44E+12,306256,28,150169 610517
1.43E+12,33638,681,814297 670753 1002499 483905
1.44E+12,272563,283,303149 1290698 237874 915613 1067972 1127335 303149 1214748 1290698 347338 1311459 149279 418473 150169 1276569 1177237 581854 469750 312815 1085228 610340 1244358 1152348 782399 657999 998064 30603 249416 1078708 148839 767591 918358 87836
1.44E+12,115586,1066,732011 424566
1.44E+12,273743,available,1
1.43E+12,14671,120,769062
1.43E+12,463280,available,0
1.43E+12,165816,available,0
1.44E+12,143486,928,769062
1.44E+12,159780,790,n56436.000
1.43E+12,257952,888,153900 363182 n12072600.000
1.44E+12,98728,790,n85680.000
1.44E+12,46130,1032,703585 98606 1015535
1.43E+12,341548,1051,1312959 656844
1.44E+12,138273,available,0
1.44E+12,329693,978,1003915 856768 116566 940076 677003 17670 1010684 314197 1066164 647240
1.44E+12,302948,231,769062
1.43E+12,65889,696,717520 1240261
1.44E+12,426550,451,973211
1.44E+12,46097,591,1116693
1.43E+12,227628,6,598588 150169 410229 150169 112336
1.43E+12,34435,415,769062
1.44E+12,111530,categoryid,1625
1.43E+12,61240,364,1243939
1.44E+12,58729,496,357961 549517
1.44E+12,157078,451,785394
1.44E+12,51354,112,679677
1.43E+12,63312,categoryid,1120
1.43E+12,34435,available,1
1.44E+12,361103,888,437265 621217 n48.000 n121.200 333373 831479 973211 n14.400 1135780 1284577 n121.200 1284577 n15360.000 628176 n8640.000 1284577 n18.000 1187104 1284577 1186729 769062 1284577 1141052 n48.000 288796 1284577 414047 1078259 n52.800 1154859
1.44E+12,315545,available,1
1.44E+12,336393,790,n31440.000
1.44E+12,188148,available,0
1.43E+12,428825,470,769062
1.44E+12,128394,751,769062
1.44E+12,143486,available,0
1.44E+12,200537,790,n232200.000
1.43E+12,138273,431,272976
1.44E+12,379744,212,n12.000
1.44E+12,82174,400,1297729 n720.000 1178208 n900.000 424566
1.44E+12,150318,790,n54000.000
1.44E+12,60376,available,0
1.43E+12,306344,311,539823
1.44E+12,293687,790,n41520.000
1.44E+12,367797,813,1043990
1.44E+12,256368,available,1
1.44E+12,305786,400,n552.000 639502 n720.000 424566
1.43E+12,281958,917,n360936.000
1.43E+12,280893,810,769062
1.44E+12,80622,981,664227 288796 288796 23770 769062
1.44E+12,167587,available,0
1.43E+12,360173,581,91525
1.44E+12,337348,790,n77160.000
1.44E+12,58869,1032,98606 1015535
1.44E+12,46130,available,1
1.43E+12,156489,888,80553
1.43E+12,304877,790,n39240.000
1.44E+12,67438,728,83273 140286
1.43E+12,216695,964,n2640.000 1128577 486467 604633
1.44E+12,462203,888,244081 363182 635635
1.44E+12,30024,678,6517 1009260
1.44E+12,82452,790,n55560.000
1.43E+12,431148,350,1116693
1.44E+12,69533,790,n83880.000
1.43E+12,102229,283,537209 1058682 1055803 1058682 1025080 n118200.000 468731 269774 380713 460346 410200 237874 43441 16970 857932 990716 80043 537209 1055803 1058682 n108000.000 375545 717971 228574 379482 694987 703408 1243756 971212 666094 1273813
1.43E+12,362851,764,1285872
1.44E+12,182099,188,1297729 n600.000 1178208 n1200.000 10317
1.44E+12,167484,698,727274 9705
1.44E+12,385376,available,1
1.44E+12,44220,888,294352 616467
1.44E+12,367447,0,119932 754228 801383 471403 801383 693640 98606 632686 406473 440924 680327 768453 414047 858644 145994 1113685 836115 386093 1324705 426922
1.43E+12,379264,790,n24720.000
1.44E+12,284600,438,769062
1.44E+12,332761,790,n250680.000
1.43E+12,7438,790,n66120.000
1.44E+12,316444,52,1310600 1284577 704799
1.44E+12,165348,790,n13080.000
1.43E+12,325319,550,892975
1.43E+12,392392,810,n288.000 424566
1.44E+12,334432,available,1
1.44E+12,30513,888,898004 1020928
1.44E+12,436461,566,1297729 n780.000 1178208 n900.000 424566
1.43E+12,435713,888,423808 196049
1.43E+12,12523,451,973211
1.43E+12,182099,917,296325
1.43E+12,394254,888,581321 1131057 1318567
1.44E+12,461301,790,n6000.000
1.44E+12,398379,364,797244
1.44E+12,255275,790,n5760.000
1.44E+12,67182,790,n46680.000
1.43E+12,302948,581,181384
1.44E+12,161346,888,93254 877067 176870
1.44E+12,141264,776,643268
1.43E+12,72011,available,1
1.44E+12,138114,888,n24.000 459719
1.44E+12,204785,400,n552.000 639502 n720.000 424566
1.43E+12,93144,available,1
1.43E+12,59691,490,162165
1.44E+12,255708,available,1
1.44E+12,174955,categoryid,1177
1.44E+12,272563,698,303149 1290698 237874 915613
1.43E+12,36906,790,n345600.000
1.44E+12,62312,935,769062
1.44E+12,50048,790,n278280.000
1.44E+12,198209,888,1051803 1059499 n713162556.000 992862 677128 221748 1185589 n25.920 1135780 1284577 n187.200 1284577 n16392.000 628176 n9216.000 134030 1284577 n24.000 1187104 1284577 n12.000 1175087 n3840.000 1187104 1284577 491900 1284577 992862 625815 1119999 1284577 1141052 n24.000 288796 1284577 842796 1154859
1.43E+12,349737,1051,691614
1.44E+12,388097,available,0
1.44E+12,182642,888,648485 n2400.000 1318567
1.43E+12,427923,available,1
1.43E+12,248676,888,857982
1.43E+12,335041,908,752525
1.44E+12,190545,888,838163 1318567
1.43E+12,396238,400,269011 n720.000 424566
1.44E+12,67438,400,n552.000 639502 n720.000 424566
1.44E+12,80502,790,n45720.000
1.43E+12,328025,790,n29220.000
1.43E+12,436461,790,n314160.000
1.43E+12,257952,678,392514 1052766
1.44E+12,156108,available,1
1.43E+12,310590,839,202346
1.43E+12,428825,698,1189968
1.43E+12,380511,364,846122
1.44E+12,451967,776,502228
1.44E+12,161951,790,n6600.000
1.44E+12,444848,928,533588
1.44E+12,328696,776,169341
1.44E+12,402110,790,n128280.000
1.44E+12,311052,839,239782
1.43E+12,396238,available,1
1.43E+12,269430,227,505421 945042
1.43E+12,272187,581,191208
1.44E+12,188558,790,n173280.000
1.43E+12,319910,768,n60.000
1.44E+12,449010,available,0
1.43E+12,420871,917,n25015920.000
1.44E+12,386146,790,n14040.000
1.44E+12,297513,839,1306911
1.44E+12,253615,790,n233880.000
1.44E+12,268881,25,466400 1226584 1211562
1.44E+12,305786,790,n408960.000
1.44E+12,168527,888,253573 n42000.000 1324910 1267107 160468 992862 647924 1284577 342994 1284577 n36.000 1135780 1284577 n48.000 1187104 539109 661116 1257525 1284577 n6000.000 1187104 1284577 992862 625815 1119999 1284577 842796 1284577 1076034
1.43E+12,41217,790,n59880.000
1.43E+12,174172,202,961988 n28992.000 1203653
1.43E+12,379092,6,755013
1.44E+12,315543,available,1
1.44E+12,268266,790,n100440.000
1.43E+12,398579,790,n414000.000
1.44E+12,443030,888,1326860 262978 1133979 86628
1.44E+12,250696,978,684814 234274 670342
1.44E+12,383336,839,202346
1.43E+12,22926,764,1285872
1.44E+12,388242,591,1116693
1.44E+12,356320,888,291128 642386
1.43E+12,91249,790,n153840.000
1.44E+12,259455,available,1
1.43E+12,316135,790,n18300.000
1.44E+12,261865,790,n9240.000
1.43E+12,78978,776,283450
1.44E+12,355908,available,1
1.44E+12,360403,400,1297729 n660.000 1178208 n720.000 424566
1.44E+12,250696,496,1276034 999874 357961 986363 357961 253573 999874 632043 464704 556268 98606 1015535
1.43E+12,319506,981,769062
1.44E+12,37945,available,0
1.44E+12,204070,available,0
1.43E+12,1981,928,769062
1.43E+12,218505,364,1176900
1.44E+12,71846,888,853231 1330872
1.43E+12,159835,790,n25440.000
1.43E+12,36642,422,769062
1.44E+12,341548,790,n28920.000
1.44E+12,371590,790,n23760.000
1.43E+12,428805,790,n237120.000
1.44E+12,161688,790,n76080.000
1.43E+12,334662,790,n31440.000
1.44E+12,396045,available,0
1.43E+12,257040,888,816922 551231 1284577 635635
1.43E+12,122834,790,n100080.000
1.44E+12,374673,790,n117240.000
1.43E+12,387279,790,n224280.000
1.44E+12,38403,available,0
1.44E+12,71957,available,1
1.44E+12,279976,915,320245 45447 703408 505888
1.44E+12,24855,888,298807
1.44E+12,427923,581,181384
1.43E+12,435713,283,250259 644981 556013 423808 196049
1.44E+12,281958,888,n23172.000 690687 610340 913084 834057
1.43E+12,115525,790,n57480.000
1.44E+12,183178,202,662332
1.44E+12,93144,790,n78600.000
1.43E+12,261320,available,1
1.44E+12,190172,1032,703585 499075 1277894 98606 535924
1.44E+12,150318,888,1265514 1224110 734600 629205
1.43E+12,215767,810,769062
1.43E+12,302948,227,1249027
1.44E+12,231243,available,1
1.44E+12,184370,790,n839880.000
1.44E+12,80953,558,282351 527042
1.44E+12,60918,available,1
1.43E+12,112792,888,106292 1231822 459719
1.44E+12,30024,available,1
1.44E+12,140861,888,n13308.000 422480 1133979
1.43E+12,265166,888,476398
1.44E+12,69408,available,1
1.43E+12,80502,available,0
1.44E+12,451967,790,n40440.000
1.44E+12,356475,591,1116693
1.44E+12,315543,790,n81600.000
1.43E+12,255833,713,784581
1.44E+12,241752,790,n29760.000
1.44E+12,379002,400,269011 n900.000 424566
1.44E+12,139898,available,0
1.44E+12,134118,880,n132.000 190776
1.44E+12,5440,253,769062
1.44E+12,250696,888,387880 1128021
1.44E+12,276105,1090,769062
1.44E+12,386056,776,487526
1.43E+12,323381,496,769062
1.43E+12,261865,325,535911 932380
1.43E+12,350629,790,n241680.000
1.43E+12,15335,categoryid,1098
1.44E+12,41932,790,n6240.000
1.43E+12,243355,available,1
1.43E+12,332761,888,1183340
1.43E+12,398379,917,n24000098076.000
1.44E+12,318871,790,n46188.000
1.43E+12,25427,678,693826
1.43E+12,213464,619,769062
1.43E+12,94488,839,508476
1.43E+12,5206,6,1033990 827388
1.43E+12,310791,6,1263557 810521
1.44E+12,219936,962,664227 1305534 664227 463202 664227
1.44E+12,417464,790,n714000.000
1.44E+12,151839,available,1
1.43E+12,319910,categoryid,282
1.43E+12,80299,categoryid,1277
1.43E+12,305760,790,n41280.000
1.44E+12,281442,1032,703585
1.43E+12,188698,categoryid,1402
1.43E+12,462394,364,1012256
1.44E+12,269430,790,n91200.000
1.44E+12,99496,888,977238 771257 522237 816909 n683388.000 906640 1133979
1.43E+12,237422,112,679677
1.43E+12,385376,1031,253511 150169 31884 235933
1.44E+12,14671,496,464704 826669 1176545
1.44E+12,76196,102,1279814 n252.000 396934
1.44E+12,373384,888,435907 573886 1318567
1.43E+12,354676,364,692688
1.43E+12,219936,931,814297 670753 n96.000
1.44E+12,466472,790,n34800.000
1.44E+12,156094,19,n96.000 639502 n168.000 350726
1.43E+12,307285,1036,1154859
1.44E+12,260957,792,1116693
1.43E+12,459761,790,n39720.000
1.44E+12,84160,available,0
1.43E+12,348196,392,747495
1.44E+12,285729,888,351505 n108.000 44585 113919 1284577 230420
1.44E+12,464731,790,n49200.000
1.43E+12,55555,38,769062
1.43E+12,335975,451,1141052 n48.000
1.44E+12,247307,895,267033 1169762 n12.000 106441
1.44E+12,381653,categoryid,491
1.43E+12,93900,available,1
1.44E+12,422948,available,0
1.44E+12,260256,888,864259 1063261
1.43E+12,387691,888,965009
1.43E+12,420578,888,185688
1.44E+12,257773,400,1297729 n660.000 1178208 n720.000 424566
1.43E+12,244504,888,1129416 364023 961511 769062
1.44E+12,324543,451,973211
1.44E+12,291689,790,n33288.000
1.43E+12,374363,558,177813
1.44E+12,308985,790,n269520.000
1.43E+12,60214,888,675707
1.44E+12,312728,888,441568 1154859 86628
1.43E+12,347974,159,519769
1.43E+12,204070,6,887448 174342
1.43E+12,156094,689,150169 683159
1.43E+12,369447,available,1
1.44E+12,343861,categoryid,1120
1.44E+12,140141,888,1032094 334570 705498 237874 459719 639671 484436 1108539 784581 1297729 n60.000 350726 30603 832471
1.43E+12,280893,888,1190295 973082 980660 346454
1.43E+12,198620,available,1
1.44E+12,263188,888,797432 n768360360.000 1318567
1.43E+12,78978,790,n64680.000
1.43E+12,257040,917,816922 551231 635635
1.43E+12,272563,6,303149 1290698
1.44E+12,414460,790,n13200.000
1.44E+12,373384,available,0
1.44E+12,348196,888,1124401 n16440.000 1042217
1.43E+12,13031,790,n295320.000
1.44E+12,335913,790,n24960.000
1.44E+12,462394,888,683597 n43476.000
1.44E+12,227470,790,n36000.000
1.43E+12,347974,892,769062
1.44E+12,466472,964,n2640.000 639502 n2760.000 1128577 486467 604633 769062
1.43E+12,346655,888,n3648.000
1.43E+12,48743,888,724243 1304377 264538 998349
1.43E+12,38796,available,1
1.44E+12,13031,available,0
1.44E+12,350819,790,n35988.000
1.44E+12,167484,categoryid,1407
1.44E+12,32971,available,0
1.43E+12,55555,112,679677
1.44E+12,187354,202,958245 368896
1.44E+12,383488,311,769062
1.43E+12,347974,884,n16392.000 628176 n9216.000
1.43E+12,55364,888,11996 n126072.000 26820 655992 150169 138242 784581 1297729 n24.000 350726 30603 832471
1.44E+12,240421,888,365160 n11854.080
1.44E+12,330649,839,1204185
1.43E+12,199810,available,0
1.43E+12,20192,227,975329 150169 716637
1.43E+12,45121,790,n66480.000
1.44E+12,55555,434,769062
1.44E+12,105720,46,769062
1.44E+12,137633,available,0
1.43E+12,222613,764,1285872
1.43E+12,28540,6,1040170 977762
1.44E+12,464409,790,n52080.000
1.43E+12,326449,categoryid,1051
1.44E+12,337358,available,1
1.44E+12,86238,225,1066831 n21600.000 1066831 n22800.000 1066831 n10800.000 580224 951585 973211 1046037
1.44E+12,261793,790,n1440.000
1.43E+12,255275,available,1
1.43E+12,328696,790,n205560.000
1.43E+12,73593,available,1
1.44E+12,219936,852,1116693
1.44E+12,319992,790,n188160.000
1.44E+12,462945,776,1005453
1.44E+12,281958,202,n23172.000 690687 610340 913084 834057
1.44E+12,102229,6,537209 325971 150169 1263524 325971
1.44E+12,367490,790,n48480.000
1.44E+12,347013,962,664227
1.43E+12,254477,764,1285872
1.43E+12,426298,888,451929 599442 651004 1284577 476705
1.44E+12,188148,348,530843
1.43E+12,262159,790,n261720.000
1.44E+12,100307,839,365855
1.43E+12,360173,231,769062
1.44E+12,292760,888,1275486 n24.000 1128577 n12.000 961511 1284577 230420 868285
1.43E+12,10572,categoryid,1037
1.44E+12,75994,790,n295800.000
1.44E+12,96776,400,n552.000 639502 n720.000 424566
1.44E+12,67486,400,n552.000 639502 n720.000 424566
1.44E+12,328901,available,0
1.43E+12,262159,283,1037891 127431 1059499 n713162508.000 127431 730175 n360.000 312815 1178058 1037891 1244358 157939 386817 983499 30603 615344 520279 855390 718248 94244 493696 150169 1138498 868573 30603 150169 1256252 200595 98614 237874 312815 1037891 1215254 646928 434503 1004914 614681
1.43E+12,276704,888,683597 500040 n60.000 807959 n14400.000 10317
1.44E+12,412312,888,330236 291334
1.44E+12,207825,348,1272323
1.43E+12,106874,202,92955 1149693 118581
1.44E+12,77884,566,1178208 n780.000 424566
1.44E+12,213464,839,892470
1.43E+12,52888,992,n7920.000 10317
1.43E+12,292760,764,1285872
1.43E+12,123882,671,769062
1.43E+12,257040,495,n180.000
1.44E+12,267010,790,n84120.000
1.43E+12,214912,480,1045165
